TEAM,State
ATL,Georgia
BOS,Massachusetts
CLE,Ohio
NOP,Louisiana
CHI,Illinois
DAL,Texas
DEN,Colorado
GSW,California
HOU,Texas
LAC,California
LAL,California
MIA,Florida
MIL,Wisconsin
MIN,Minnesota
BKN,New York
ORL,Florida
IND,Indiana
PHI,Pennsylvania
PHX,Arizona
POR,Oregon
SAC,California
SAS,Texas
OKC,Oklahoma
TOR,Canada
UTA,Utah
MEM,Tennessee
WAS,Maryland
DET,Michigan
CHA,North Carolina
